serie_bac,note_maths,note_physique,niveau_prog,appetence_comm,parcours_cible
Litteraire,8.894273032741879,12.370259657461352,5,4,Management / SI
Technique,10.339052083958453,12.709301840696611,2,4,Management / SI
OSE,8.406366322233454,12.343125680051944,2,2,Génie Logiciel
OSE,17.89417539874917,12.928168279602632,5,5,Intelligence Artificielle
OSE,12.105790655915186,14.987457590397295,5,4,Intelligence Artificielle
S,9.900823476022243,11.58956350910441,5,2,Génie Logiciel
OSE,12.641939732202665,13.127011272765536,2,1,Réseaux & Systèmes
S,11.663015850927511,10.73079291713832,5,5,Management / SI
Technique,11.33709120140033,15.320351646348419,5,3,Génie Logiciel
S,13.842500100130275,8.97082309382219,4,4,Intelligence Artificielle
Technique,14.272523130141916,16.402821298732448,1,2,Réseaux & Systèmes
OSE,10.408496557168418,10.87952614806697,3,1,Génie Logiciel
OSE,10.27254527806596,6.707674693645855,1,3,Génie Logiciel
Technique,11.174844908545069,11.384313244732368,4,2,Génie Logiciel
Litteraire,5.094236505793246,8.956845027575358,3,2,Génie Logiciel
Technique,7.454426813404343,13.521930646966172,5,3,Génie Logiciel
Litteraire,16.100622802333575,9.042128062092827,4,1,Intelligence Artificielle
S,16.93490314050385,9.66144970035566,5,1,Intelligence Artificielle
S,11.252891881330864,5.331377807163407,2,5,Management / SI
S,13.729670889167298,9.64308104225277,4,4,Intelligence Artificielle
OSE,12.933750463630608,3.7283620201131296,2,3,Génie Logiciel
S,20.0,6.24829152954283,4,3,Intelligence Artificielle
Litteraire,15.358724734303731,13.281243968432893,4,3,Intelligence Artificielle
S,11.6162472255577,13.357400475952497,2,1,Réseaux & Systèmes
Technique,9.133378678198723,12.276372685354895,3,4,Management / SI
Technique,7.1806610392272825,8.099071570612361,1,5,Management / SI
OSE,12.61039090760167,10.85686593157406,5,2,Intelligence Artificielle
Technique,9.73094776414709,10.989192382728294,4,2,Génie Logiciel
Litteraire,7.733238871206978,7.524905932422372,5,3,Génie Logiciel
S,10.06028134727242,15.510194905301452,2,4,Réseaux & Systèmes
OSE,8.755355989156815,13.632086871727015,5,1,Génie Logiciel
S,17.061424905217695,10.337107478511008,2,4,Management / SI
S,14.644919270848352,11.080657516983592,5,4,Intelligence Artificielle
Litteraire,11.976082076050147,11.625148423842658,1,1,Génie Logiciel
Technique,16.43983241667008,4.874795394727128,1,3,Génie Logiciel
Technique,12.232104922942854,10.258467852438208,1,4,Management / SI
S,9.416147396015209,8.954047256006604,1,2,Génie Logiciel
OSE,16.56937223180897,7.995139970315254,1,1,Génie Logiciel
Technique,13.616730131053977,10.156699121342136,1,5,Management / SI
OSE,8.88826153702063,16.393059580548567,2,3,Réseaux & Systèmes
Technique,11.428983965749175,12.922528583801029,4,1,Génie Logiciel
OSE,9.373145239845728,9.28646303065161,5,5,Management / SI
Litteraire,7.851600807106992,12.717748344068475,1,5,Management / SI
OSE,14.778532642594925,15.198066309758007,2,4,Réseaux & Systèmes
Litteraire,17.72824992141039,13.773901048738306,2,4,Réseaux & Systèmes
Litteraire,7.804297278542577,11.178891109760523,2,4,Management / SI
OSE,13.688907710071712,9.059189666883277,4,1,Intelligence Artificielle
Litteraire,10.048072292634519,13.09466994084077,5,1,Génie Logiciel
S,10.538623848705912,12.18045615626525,4,3,Génie Logiciel
Litteraire,10.222818227283392,13.685579660083196,3,4,Réseaux & Systèmes
Technique,9.408027690960552,12.905515405045909,2,5,Management / SI
OSE,12.145564883834481,14.148658145958006,3,2,Réseaux & Systèmes
S,9.507149650766888,9.394294365318295,1,3,Génie Logiciel
OSE,12.811370477339516,14.952182196902978,1,1,Réseaux & Systèmes
Technique,11.84928567165259,11.592798814077199,4,3,Génie Logiciel
Technique,11.283155859400772,17.225782617875797,5,3,Génie Logiciel
Technique,9.277309013875207,8.932436545731296,3,3,Génie Logiciel
Litteraire,10.269686008295002,16.207891409495748,5,3,Génie Logiciel
Litteraire,14.26617367747727,11.593732350387944,4,2,Intelligence Artificielle
OSE,13.502751562873142,9.045745989156655,1,4,Management / SI
OSE,9.067334265604346,9.548342497837035,5,5,Management / SI
S,12.297996916287678,10.038958075417039,5,3,Intelligence Artificielle
S,14.254161370115368,12.27249783920575,1,3,Génie Logiciel
OSE,6.991784156635885,12.568506464106498,3,3,Génie Logiciel
Litteraire,13.630080577139806,9.278899988184262,1,4,Management / SI
Technique,10.01212872316246,10.926936223217051,5,1,Génie Logiciel
OSE,13.711796005779478,17.42681107583559,3,1,Réseaux & Systèmes
S,9.71022253037245,16.182629510302135,3,2,Réseaux & Systèmes
Litteraire,6.585353698006443,12.308971009022097,1,1,Génie Logiciel
OSE,7.117372686350512,11.114010434504602,5,3,Génie Logiciel
OSE,12.144254839984146,11.360093980154783,4,3,Intelligence Artificielle
Litteraire,12.779167505164445,12.840553918191251,5,3,Intelligence Artificielle
OSE,9.287050124686775,7.931622304404783,2,2,Génie Logiciel
Litteraire,13.915777376332121,10.227870387729965,4,3,Intelligence Artificielle
Technique,7.015439813193121,5.994247778367232,3,1,Génie Logiciel
Litteraire,11.80176060405805,12.197669367815838,4,4,Management / SI
Litteraire,8.36695140071263,12.941587819108223,3,4,Management / SI
Litteraire,10.044491676593523,9.550440613101879,3,5,Management / SI
OSE,12.142196013949242,15.721960289870099,4,1,Intelligence Artificielle
OSE,9.418759904148143,7.322703010992976,3,3,Génie Logiciel
Litteraire,10.846333367310525,6.606875359370539,3,4,Management / SI
OSE,15.018878427643322,11.673355455679916,2,1,Génie Logiciel
S,10.269324391430555,14.141294907836464,5,4,Management / SI
S,14.507076336195425,16.051783074373606,5,3,Intelligence Artificielle
OSE,8.610879436027146,9.62334721139318,2,4,Management / SI
OSE,13.589412533745849,14.236042500293888,4,5,Intelligence Artificielle
Litteraire,16.3247058619737,10.884474591497879,1,5,Management / SI
Technique,4.585066499618132,10.48211810017754,1,4,Management / SI
OSE,9.60931423358857,13.650979812460017,1,1,Réseaux & Systèmes
S,13.73121638154162,12.956968635240258,2,1,Génie Logiciel
Litteraire,11.390863841871022,6.270823529047252,2,1,Génie Logiciel
OSE,13.113437620113926,15.429621049177687,3,4,Réseaux & Systèmes
S,10.188044439852538,15.140274062442355,1,1,Réseaux & Systèmes
S,12.2597693624187,9.123311895471412,4,3,Intelligence Artificielle
Technique,11.532968293823762,12.187410600312226,4,5,Management / SI
Litteraire,15.503346184979423,12.482090558848217,1,3,Génie Logiciel
Litteraire,12.763262529903638,11.782021297471722,1,1,Génie Logiciel
Technique,13.012807986225607,9.349084538463739,1,3,Génie Logiciel
Technique,10.764369101632598,8.985129896185846,2,1,Génie Logiciel
Litteraire,10.53718132778252,10.923337787025664,2,4,Management / SI
Litteraire,10.702325436541138,14.518187057778094,2,3,Réseaux & Systèmes
OSE,13.18335642713489,12.630800463783297,5,4,Intelligence Artificielle
OSE,10.73704655753921,9.888157003741682,4,4,Management / SI
Technique,12.869324570689239,13.315096131945033,4,2,Intelligence Artificielle
OSE,18.226202395936316,2.4543721381097736,3,1,Génie Logiciel
S,14.613374110295076,14.446297101116311,2,5,Réseaux & Systèmes
OSE,11.021929403496477,5.780858663665701,5,1,Génie Logiciel
OSE,15.603641766491835,9.912677175790604,5,5,Intelligence Artificielle
S,10.775773880935345,7.640990316121568,4,1,Génie Logiciel
Technique,5.885626394466438,7.115955572837283,2,4,Management / SI
S,8.975741067247789,14.482480362135558,3,3,Réseaux & Systèmes
OSE,6.3876242369224325,9.596896396064325,2,3,Génie Logiciel
Technique,10.945459547876073,12.039511645192148,1,2,Génie Logiciel
OSE,12.055255137568656,10.859238263362448,2,5,Management / SI
S,17.02931193682585,12.431122481669364,1,5,Management / SI
S,12.980782121292489,11.230465673180767,1,5,Management / SI
OSE,11.342698413573407,7.151023327434292,3,4,Management / SI
Litteraire,14.488216743550467,13.98880045834142,4,5,Intelligence Artificielle
Litteraire,5.366594072976344,9.518730250516063,2,3,Génie Logiciel
S,12.706843674325699,6.330254304020746,1,4,Management / SI
S,14.3125955816609,9.715654517102262,2,1,Génie Logiciel
Litteraire,7.564241262660476,15.502279371902933,4,5,Management / SI
Litteraire,15.431262129620787,13.55066522634048,4,5,Intelligence Artificielle
OSE,13.015489222483243,9.954043596776422,5,1,Intelligence Artificielle
OSE,10.754136258297596,9.952226887044713,4,5,Management / SI
Litteraire,13.898345598318855,10.035094846347853,3,1,Génie Logiciel
OSE,18.81207857341319,17.23024395068252,1,4,Réseaux & Systèmes
OSE,12.545598765175486,12.14580635669466,5,3,Intelligence Artificielle
Technique,12.744661758901008,12.29012494157321,3,1,Génie Logiciel
OSE,10.621917301379268,14.090850362095527,2,2,Réseaux & Systèmes
S,9.450466891605625,11.71636747707954,1,1,Génie Logiciel
OSE,14.491007449632736,10.22287356253789,4,5,Intelligence Artificielle
OSE,9.431748522273399,10.410950452745066,1,4,Management / SI
Litteraire,12.214698711658178,10.785196221757808,2,4,Management / SI
S,10.56702765970465,10.888333290470475,5,1,Génie Logiciel
OSE,13.436939477239175,13.18288863091094,5,3,Intelligence Artificielle
OSE,13.000986315860844,11.155837657421898,5,2,Intelligence Artificielle
Technique,15.112619832773698,13.197920231646737,4,4,Intelligence Artificielle
OSE,10.46995080343576,10.757850259674253,3,5,Management / SI
OSE,11.190375194119886,11.235905570948272,3,5,Management / SI
Technique,9.063708852653079,5.0053979464036775,1,3,Génie Logiciel
Litteraire,10.667120219771665,13.748983024107444,4,4,Management / SI
OSE,13.131901479134557,12.039465427693978,5,1,Intelligence Artificielle
Technique,14.270965849936056,13.994030329578957,5,5,Intelligence Artificielle
S,9.233504027467124,2.3112338654189326,2,3,Génie Logiciel
Litteraire,14.608817760316981,17.265124114342182,2,4,Réseaux & Systèmes
S,16.066913576414855,10.581231115534479,5,4,Intelligence Artificielle
S,13.240304709671102,14.32454845021255,5,4,Intelligence Artificielle
Technique,17.630387437674198,7.880282218623408,4,4,Intelligence Artificielle
OSE,9.678632402689281,12.838321715187709,3,4,Management / SI
